# Effective stiffness matrix C_ij (Voigt)
# RVE: BT80_z95_s3, L=0.8, applied_strain=0.00625
# CORRECTED: extracted with applied_strain=0.01, but the deck prescribes Disp=0.005 over L=0.80, so the true strain is 0.00625. C_ij below rescaled by 1.6; stress/strain blocks below are raw ODB output and are unchanged.
,11,22,33,12,13,23
11,5.320024e+09,1.500229e+09,1.467692e+09,2.219326e+06,-1.468229e+07,-1.477780e+07
22,1.500229e+09,5.391747e+09,1.480310e+09,6.310960e+06,-3.226973e+06,1.057843e+07
33,1.467692e+09,1.480310e+09,5.518768e+09,-8.066795e+06,-1.558093e+07,5.286190e+06
12,2.219326e+06,6.310960e+06,-8.066795e+06,1.722046e+09,2.572589e+06,-1.712034e+07
13,-1.468229e+07,-3.226973e+06,-1.558093e+07,2.572589e+06,1.716866e+09,1.479019e+06
23,-1.477780e+07,1.057843e+07,5.286190e+06,-1.712034e+07,1.479019e+06,1.740728e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,2.927842e+07,-2.117465e-04,-2.427797e-04,7.809793e+03,-6.945564e+04,-9.393082e+04
uty,-5.097839e-04,2.966503e+07,-3.392355e-04,5.601271e+04,3.391773e+04,7.886754e+04
utz,-2.520249e-04,-2.380287e-04,3.053136e+07,-5.016951e+04,-6.030296e+04,4.757265e+04
ss12,1.918850e+04,5.474464e+04,-2.437956e+04,1.076279e+07,1.014170e+04,-1.099291e+05
ss13,-1.328558e+05,-5.720504e+04,-1.269931e+05,1.014170e+04,1.073041e+07,1.002264e+04
ss23,-4.296255e+04,8.409998e+04,6.167111e+04,-1.099291e+05,1.002264e+04,1.087955e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,6.039337e-03,-2.240604e-03,-2.067381e-03,4.982876e-06,-1.803179e-05,4.918958e-05
uty,-2.219296e-03,6.023237e-03,-2.064400e-03,1.160722e-05,-7.321893e-06,1.404971e-05
utz,-2.151543e-03,-2.168060e-03,6.033153e-03,2.573513e-05,-5.402886e-06,3.056171e-05
ss12,-5.466060e-06,1.931689e-06,1.955367e-06,6.068267e-03,-6.186116e-06,-1.963804e-06
ss13,-3.315519e-06,-1.045399e-07,1.938074e-06,-4.867872e-06,6.044732e-03,5.431667e-07
ss23,2.049024e-06,-5.018327e-06,-3.259881e-06,-3.534158e-06,8.144075e-07,6.057296e-03
